Entry,D_3_T_23_adj.ChiSq.pval,D_3_T_29_adj.ChiSq.pval,D_5_T_23_adj.ChiSq.pval,D_5_T_29_adj.ChiSq.pval,D_7_T_23_adj.ChiSq.pval,D_7_T_29_adj.ChiSq.pval,D_9_T_23_adj.ChiSq.pval,D_9_T_29_adj.ChiSq.pval,D_11_T_23_adj.ChiSq.pval,D_11_T_29_adj.ChiSq.pval,D_13_T_23_adj.ChiSq.pval,D_13_T_29_adj.ChiSq.pval
Q2PC93,0.986700297417779,0.0569128814179157,0.0214434834875268,0.0440679395991998,0.000188827159698458,0.00945195042892298,0.519210740314765,0.000199394694110096,0.0175994715448027,4.94862459132581e-12,0.569452409008722,3.33293750242319e-14
Q9C6B9,0.986700297417779,0.999430996321945,0.0433352380712226,0.00307378230906769,0.00160102035790337,0.000120887376418084,0.00197255621594955,0.00168911835337634,0.090839210994408,0.0180450223445602,0.0104196593720072,0.305061665423799
P30044,0.986700297417779,0.767603810912616,0.259016652144232,0.5602561808157,0.0460748713878866,0.245796935409909,0.0889822288363422,0.820621674567948,0.866796154916343,0.419345449603013,0.00779422905761959,0.160749839137074
Q8WWB3,0.986700297417779,0.174624104314977,0.173159177445082,0.0577917883190971,0.17236622784592,0.291879032538091,0.180545927159386,0.303429059276856,0.0996995671084463,0.153315056728586,0.0410461294179365,0.00819655381749084
Q6Q759,0.986700297417779,0.00112631199413146,0.0014776936182052,0.000604948299241683,0.0318288103166425,1.84091667568639e-05,5.47020777717349e-05,4.02041706605537e-06,1.35023545672874e-06,3.90237381674278e-05,5.19367784491806e-05,6.06171676704973e-06
Q32NR4,0.986700297417779,0.449506605642166,0.943696761443377,0.155897128115638,0.443484709763621,0.544698785478546,0.188371313891121,0.204730647364465,0.0370347462616604,0.238150592882068,0.86879211503845,0.119481043109429
P86789,0.986700297417779,0.0048432513485543,0.00567504333558474,0.000188903027392136,0.000228557667840569,5.39840355060517e-05,0.0001107435821698,2.18935976851842e-06,7.71177747989607e-05,0.000214010199048914,0.00157453233342968,0.0024417881162965
Q5TYW6,0.986700297417779,0.356927870635881,0.0116767747246886,0.111269343322259,0.17025028302283,0.630798799597708,0.18407972851899,0.00190288569980444,0.00317676757267344,0.000134183108867013,0.262003938471818,0.000997548068835599
Q5R9R4,0.986700297417779,0.999430996321945,0.914897767586959,0.311024739989645,0.996246021668058,0.907257190684007,0.000209924405539898,0.528553881593939,0.126766509002958,0.181991894521608,0.924704430723309,0.975610914628898
P41246,0.986700297417779,0.648568383669611,0.958808489306551,0.00357609594232379,0.996246021668058,0.00715209073560002,0.995145092771847,0.00233667991458641,0.010064897375682,0.00325932182261119,0.0104196593720072,0.000997548068835599
Q6ZTR5,0.986700297417779,0.000424180131465497,8.53256719010201e-05,0.000161994851437906,1.02515347974825e-05,2.64406063278853e-05,2.07059149678662e-07,1.05858903810318e-08,2.13079587655172e-08,6.70288471980409e-07,1.13006713381805e-05,1.07062276325371e-06
Q9UIF3,0.986700297417779,0.00150637825154772,0.00156239212721397,7.46518073681882e-05,0.00192252578292669,0.00327304016068463,0.000191548126380625,4.00797315120052e-05,2.51348290799701e-06,7.60778256656119e-06,2.30651462051054e-05,8.84214076705673e-06
Q7RTY7,0.986700297417779,0.405633159378777,0.0253219359592118,0.0305910736266249,0.0070535630872717,0.00745252806665264,0.0168568948080691,0.0162943266355883,0.0497629810393643,0.00428397087817952,0.0100737833531988,0.0391678015419924
P53998,0.986700297417779,0.648568383669611,0.575259203935102,0.0643096661826932,0.248405086300163,0.0532771430959141,0.443877684153925,0.178731923131767,0.351185186271629,0.0711058661211564,0.50800935465197,0.0409949103157297
Q5F201,0.986700297417779,0.0623302743902686,0.0642161381320568,0.00370827461949225,0.000237862064397213,0.00707382007968459,0.0149443772795871,0.000439429493836178,0.00320556807574123,0.403888028506693,0.00333533344515268,0.00470467906164478
Q5T6F2,0.986700297417779,0.713890172189557,0.654241455132124,0.627860712020428,0.813977345979376,0.477916532993771,0.840071508134975,0.977637038443834,0.963868455966786,0.149815267499761,0.692729592853666,0.0364397464788219
