Var1,Var2,value,type
GO:0001534,GO:0005930,0.74680696329701,term-term
GO:0001520,GO:0005930,0.74680696329701,term-term
GO:0005102,GO:0005154,0.787039659177554,term-term
GO:0009953,GO:0001756,0.845511385294878,term-term
GO:0005788,GO:0005789,0.803750032678061,term-term
GO:0000303,GO:0006979,0.840595822987555,term-term
GO:0000302,GO:0006979,0.968251224736432,term-term
GO:0004197,GO:0008237,0.725017990107071,term-term
GO:0004180,GO:0008237,0.764380694999684,term-term
GO:0004222,GO:0008237,0.948503795098293,term-term
GO:0004177,GO:0008237,0.725017990107071,term-term
GO:0004252,GO:0008237,0.725017990107071,term-term
GO:0005102,GO:0008083,0.787039659177554,term-term
GO:0004129,GO:0008519,0.80410312595842,term-term
GO:0005244,GO:0008519,0.74680696329701,term-term
GO:0006396,GO:0006400,0.840595822987555,term-term
GO:0000462,GO:0006400,0.772570772231122,term-term
GO:0006364,GO:0006400,0.856459657006246,term-term
GO:0000470,GO:0006400,0.772570772231122,term-term
GO:0004373,GO:0004048,0.90205156297921,term-term
GO:0019013,GO:0019029,0.8447554003178,term-term
GO:0055036,GO:0019029,0.8447554003178,term-term
GO:0005978,GO:0006123,0.80410312595842,term-term
GO:0006120,GO:0006123,0.90205156297921,term-term
GO:0000139,GO:0016020,0.710434593303747,term-term
GO:0005886,GO:0016020,0.758327087859664,term-term
GO:0009535,GO:0016020,0.710434593303747,term-term
GO:0001533,GO:0016020,0.710434593303747,term-term
GO:0002080,GO:0016020,0.710434593303747,term-term
GO:0005743,GO:0016020,0.710434593303747,term-term
GO:0055036,GO:0016020,0.710434593303747,term-term
GO:0002081,GO:0016020,0.710434593303747,term-term
GO:0005789,GO:0016020,0.758327087859664,term-term
GO:0005094,GO:0005096,0.90205156297921,term-term
GO:0030414,GO:0005096,0.719348105368961,term-term
GO:0004129,GO:0005254,0.74680696329701,term-term
GO:0005244,GO:0005254,0.90205156297921,term-term
GO:0008519,GO:0005254,0.74680696329701,term-term
GO:0005815,GO:0005813,0.948503795098293,term-term
GO:0001932,GO:0006417,0.789286646244632,term-term
GO:0000122,GO:0006417,0.708589924781736,term-term
GO:0001934,GO:0006417,0.714579022171493,term-term
GO:0010629,GO:0006417,0.750386692757957,term-term
GO:0006396,GO:0006368,0.752289285654788,term-term
GO:0006364,GO:0006368,0.719314230921824,term-term
GO:0015986,GO:0006368,0.709362825215592,term-term
GO:0006412,GO:0006368,0.725017990107071,term-term
GO:0004089,GO:0004634,0.8447554003178,term-term
GO:0004333,GO:0004634,0.8447554003178,term-term
GO:0004613,GO:0004634,0.80410312595842,term-term
GO:0003779,GO:0051015,0.915845428800232,term-term
GO:0005178,GO:0051015,0.725023973221836,term-term
GO:0003785,GO:0051015,0.8447554003178,term-term
GO:0005518,GO:0051015,0.762359956305517,term-term
GO:0004197,GO:0016787,0.705620202131022,term-term
GO:0004180,GO:0016787,0.753377751260881,term-term
GO:0002161,GO:0016787,0.705620202131022,term-term
GO:0003774,GO:0016787,0.705620202131022,term-term
GO:0003924,GO:0016787,0.705620202131022,term-term
GO:0004556,GO:0016787,0.705620202131022,term-term
