"","X2_3","X2_5","X2_7","X2_9","X2_11","X2_13","X2_15"
"CHOYP_FCL.1.1|m.13504",27,23.5,25.5,19.5,5,9,21
"CHOYP_BRAFLDRAFT_125234.2.2|m.19033",28.5,24.5,25.5,22.5,5.5,9,23.5
"CHOYP_THOP1.1.1|m.18269",25,24,22.5,23.5,10,13,27
"CHOYP_TPP2.1.1|m.24017",25,23.5,26,16,2.5,8.5,27
"CHOYP_LOC100367726.1.2|m.47322",22.5,24.5,31.5,20.5,6,10,20.5
"CHOYP_LOC100369745.1.1|m.18815",25.5,29,31,22,2,13.5,27
"CHOYP_HMBS.1.1|m.31422",28,20.5,21.5,11.5,5,8.5,26.5
"CHOYP_KIF2A.2.2|m.62687",23,26.5,24.5,18,8,10.5,24
"CHOYP_NR1AA.1.1|m.39226",17,25,26,21,4.5,17,26.5
"CHOYP_BRAFLDRAFT_124069.1.1|m.14145",26,26,24,20,5.5,5,15.5
"CHOYP_RBBP4.1.1|m.62913",25,29,24.5,18,8.5,10.5,21.5
"CHOYP_SEP11.1.2|m.19430",27.5,23.5,23.5,13,6,6,20
"CHOYP_AL1A1.1.1|m.24832",24,26.5,24.5,16,9.5,8.5,19
"CHOYP_BTKL.1.1|m.55270",24,29.5,56.5,16.5,3.5,4.5,15.5
"CHOYP_BT3L4.1.1|m.2144",24.5,21.5,21.5,21.5,5.5,9,18
"CHOYP_BRAFLDRAFT_123741.1.1|m.31088",18.5,27,28,24.5,9,12,23.5
"CHOYP_TBB2.1.2|m.45096",29.5,26.5,23.5,24,3,4,24.5
"CHOYP_CALUB.2.2|m.58007",19.5,18.5,22,15.5,4.5,9,27.5
"CHOYP_ACSL1.1.1|m.685",22.5,26.5,29.5,20.5,6,6.5,15
"CHOYP_LOC100377054.1.1|m.8489",23,24,21,21,11,16,21.5
"CHOYP_RS7.6.9|m.44704",23.5,18,24.5,16,5,11,25.5
"CHOYP_DNAH7.2.2|m.46648",24.5,23,29.5,17.5,3,7,11.5
"CHOYP_PSMD2.3.3|m.59658",24,25,14,20,3.5,12,22
"CHOYP_LOC100115577.1.1|m.21791",27,27.5,25.5,18.5,6.5,6,17
"CHOYP_LOC590971.1.1|m.30661",22.5,24,21.5,20.5,7,12,19.5
