"","correlation","t-stat","p-value","FDR"
"CHOYP_LOC100371148.1.1m.47147",0.0522,0.22784,0.8222,0.93773
"CHOYP_LOC101071902.1.1m.49967",0.0522,0.22784,0.8222,0.93773
"CHOYP_STAT1.1.2m.1003",0.0522,0.22784,0.8222,0.93773
"CHOYP_LOC591797.1.3m.11527",-0.052125,-0.22752,0.82245,0.93773
"CHOYP_TOP3B.1.1m.1654",-0.052034,-0.22712,0.82276,0.93773
"CHOYP_BRAFLDRAFT_70868.1.1m.55081",-0.051988,-0.22692,0.82291,0.93773
"CHOYP_DANA_GF15955.1.1m.44177",0.051935,0.22668,0.82309,0.93773
"CHOYP_PSMD9.1.1m.5055",-0.051663,-0.22549,0.824,0.93773
"CHOYP_RNP1B.1.1m.59888",-0.051623,-0.22532,0.82414,0.93773
"CHOYP_LOC100669963.1.1m.57300",-0.051571,-0.22509,0.82431,0.93773
"CHOYP_BRAFLDRAFT_85206.1.1m.49234",-0.051571,-0.22509,0.82431,0.93773
"CHOYP_PHUM_PHUM579670.1.1m.63016",-0.051469,-0.22464,0.82465,0.93773
"CHOYP_LOC101439509.1.1m.65851",-0.051239,-0.22364,0.82543,0.93773
"CHOYP_BRAFLDRAFT_57258.2.3m.48328",0.051202,0.22348,0.82555,0.93773
"CHOYP_MPET_1013.1.2m.36696",0.051189,0.22342,0.82559,0.93773
"CHOYP_IF4E.1.1m.56823",0.05115,0.22325,0.82573,0.93773
"CHOYP_ODH.1.2m.1327",0.05113,0.22316,0.82579,0.93773
"CHOYP_BRCA2.1.2m.17660",-0.05112,-0.22312,0.82582,0.93773
"CHOYP_CAN5.1.1m.42243",-0.050996,-0.22257,0.82624,0.93773
"CHOYP_CRLF3.1.2m.8760",0.050965,0.22244,0.82635,0.93773
"CHOYP_SDHC.1.1m.31276",-0.050965,-0.22244,0.82635,0.93773
"CHOYP_contig_052748m.63243",-0.050965,-0.22244,0.82635,0.93773
"CHOYP_LOC575132.2.2m.66125",0.050777,0.22162,0.82698,0.93773
"CHOYP_BRAFLDRAFT_275793.1.1m.9519",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_NEMVEDRAFT_V1G241446.2.2m.47394",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_LOC100889245.1.2m.999",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_HSPA12A.5.27m.21251",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_LOC100378653.1.3m.42107",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_ANXA4.1.2m.19913",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_LOC586044.1.1m.60359",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_APN.1.3m.316",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_LOC584481.8.10m.61433",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_ACDOPBH.9.9m.63296",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_DGRI_GH14972.1.1m.64210",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_PHF14.1.1m.27257",0.050767,0.22158,0.82701,0.93773
"CHOYP_RS3A.4.15m.15366",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_LOC100368219.4.5m.58416",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_LOC576665.1.2m.10868",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_contig_009333m.10861",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_contig_042901m.49495",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_contig_046551m.54588",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_LOC100555223.1.1m.47612",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_CASP3.1.3m.23354",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_TSP1.1.1m.43967",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_contig_043898m.50728",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_contig_025865m.29527",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_contig_011170m.12887",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_LOC100377934.1.1m.48699",-0.050767,-0.22158,0.82701,0.93773
"CHOYP_MGA.2.2m.66484",0.050767,0.22158,0.82701,0.93773
"CHOYP_DMBT1.15.34m.29008",-0.050659,-0.2211,0.82737,0.93802
"CHOYP_BRAFLDRAFT_225253.1.1m.9264",0.050572,0.22072,0.82766,0.93802
"CHOYP_SMP_176410.1.1m.18565",-0.050572,-0.22072,0.82766,0.93802
"CHOYP_MP2K4.1.1m.10635",-0.050529,-0.22053,0.82781,0.93802
"CHOYP_LOC100371628.1.1m.35401",-0.050524,-0.22051,0.82783,0.93802
"CHOYP_BRAFLDRAFT_280343.1.1m.41317",-0.050486,-0.22035,0.82795,0.93804
"CHOYP_LOC579946.7.24m.39737",0.05034,0.21971,0.82844,0.93847
"CHOYP_BRAFLDRAFT_89961.3.3m.49198",0.050189,0.21904,0.82895,0.93887
"CHOYP_CHMP3.1.1m.65684",-0.050168,-0.21895,0.82902,0.93887
"CHOYP_SBP1.1.2m.2083",0.050083,0.21858,0.82931,0.93906
"CHOYP_LSM7.1.1m.3617",-0.049953,-0.21801,0.82974,0.93943
"CHOYP_NEMVEDRAFT_V1G173950.1.1m.13511",0.049907,0.21781,0.8299,0.93948
"CHOYP_ACTC.2.6m.15315",-0.049834,-0.21749,0.83014,0.9395
"CHOYP_LOC100642680.1.1m.6611",-0.049834,-0.21749,0.83014,0.9395
"CHOYP_LOC100533218.1.1m.56993",0.049752,0.21713,0.83042,0.93956
"CHOYP_ANR17.1.2m.772",-0.04969,-0.21686,0.83063,0.93956
"CHOYP_SMP_048560.1.2m.58825",0.049447,0.2158,0.83145,0.93956
"CHOYP_LOC100374370.1.1m.56335",-0.049443,-0.21578,0.83146,0.93956
"CHOYP_LOC579713.1.1m.17440",-0.049411,-0.21564,0.83157,0.93956
"CHOYP_BRAFLDRAFT_251578.1.1m.15566",-0.049306,-0.21518,0.83192,0.93956
"CHOYP_LOC576698.1.1m.32335",0.049266,0.21501,0.83205,0.93956
"CHOYP_PCX1.1.1m.55309",0.049266,0.21501,0.83205,0.93956
"CHOYP_TTC28.1.1m.51607",0.049266,0.21501,0.83205,0.93956
"CHOYP_ENTPD4.1.1m.15533",0.049266,0.21501,0.83205,0.93956
"CHOYP_BRAFLDRAFT_117292.1.1m.19637",0.049266,0.21501,0.83205,0.93956
"CHOYP_MARH5.1.1m.45222",0.049266,0.21501,0.83205,0.93956
"CHOYP_LOC100533220.2.2m.13991",0.049266,0.21501,0.83205,0.93956
"CHOYP_contig_004756m.5453",0.049266,0.21501,0.83205,0.93956
"CHOYP_contig_033072m.37776",0.049266,0.21501,0.83205,0.93956
"CHOYP_BRAFLDRAFT_117284.5.7m.53216",0.049266,0.21501,0.83205,0.93956
"CHOYP_LOC100369232.1.1m.58420",0.049222,0.21481,0.8322,0.93956
"CHOYP_BRAFLDRAFT_84941.1.1m.53224",0.049215,0.21478,0.83222,0.93956
"CHOYP_ISCW_ISCW012623.1.1m.26452",0.04901,0.21389,0.83291,0.93995
"CHOYP_EIF5A.1.3m.22684",0.049,0.21384,0.83295,0.93995
"CHOYP_LOC101175670.1.1m.37",0.048978,0.21375,0.83302,0.93995
"CHOYP_TVAG_355490.19.22m.56184",0.048962,0.21368,0.83308,0.93995
"CHOYP_LOC100725472.1.2m.5970",-0.048926,-0.21352,0.8332,0.93995
"CHOYP_LOC100618341.1.1m.42477",0.048912,0.21346,0.83324,0.93995
"CHOYP_LOC101160004.1.1m.48946",0.048795,0.21295,0.83364,0.94014
"CHOYP_LOC100376426.3.3m.65900",0.048795,0.21295,0.83364,0.94014
"CHOYP_SPF45.1.1m.22111",-0.048718,-0.21261,0.8339,0.94018
"CHOYP_PHYD1.1.2m.17822",0.048718,0.21261,0.8339,0.94018
"CHOYP_NMT2.1.2m.10421",-0.048412,-0.21127,0.83493,0.94068
"CHOYP_LOC100373045.1.1m.16825",0.048396,0.2112,0.83498,0.94068
"CHOYP_EF1G.1.3m.12909",-0.048351,-0.211,0.83513,0.94068
"CHOYP_FRIY.1.1m.5052",0.048224,0.21045,0.83556,0.94068
"CHOYP_BTRC.1.1m.816",-0.048224,-0.21045,0.83556,0.94068
"CHOYP_LOC100879487.3.3m.33048",-0.048166,-0.21019,0.83575,0.94068
"CHOYP_LOC100374703.1.1m.28348",-0.048113,-0.20996,0.83593,0.94068
"CHOYP_LINJ_09_0950.1.1m.64023",0.047986,0.20941,0.83636,0.94068
"CHOYP_LOC101068028.1.1m.48693",0.047965,0.20931,0.83643,0.94068
"CHOYP_LOC100378618.1.1m.48704",-0.047933,-0.20917,0.83654,0.94068
"CHOYP_TENX.1.2m.12929",-0.047851,-0.20882,0.83681,0.94068
"CHOYP_PESC.1.1m.16875",-0.047809,-0.20863,0.83695,0.94068
"CHOYP_BIRC6.1.2m.51516",0.0478,0.20859,0.83699,0.94068
"CHOYP_LOC658201.1.1m.42880",-0.047729,-0.20829,0.83722,0.94068
"CHOYP_LOC101345275.1.1m.1796",-0.047727,-0.20828,0.83723,0.94068
"CHOYP_CSPA_C15740.1.1m.59258",-0.047673,-0.20804,0.83741,0.94068
"CHOYP_LOC587700.1.1m.42534",-0.047533,-0.20742,0.83789,0.94068
"CHOYP_LOC100639626.1.1m.61641",0.047315,0.20647,0.83862,0.94068
"CHOYP_BRAFLDRAFT_127356.1.2m.8691",0.047298,0.2064,0.83868,0.94068
"CHOYP_LOC592142.4.9m.49474",0.047261,0.20624,0.8388,0.94068
"CHOYP_BRAFLDRAFT_260828.1.1m.16250",-0.047246,-0.20617,0.83885,0.94068
"CHOYP_HEM6.1.1m.17205",-0.047246,-0.20617,0.83885,0.94068
"CHOYP_ISCW_ISCW006277.2.2m.66212",-0.047246,-0.20617,0.83885,0.94068
"CHOYP_ASUN.1.1m.6333",-0.047246,-0.20617,0.83885,0.94068
"CHOYP_NEMVEDRAFT_V1G182319.1.1m.5048",-0.047246,-0.20617,0.83885,0.94068
"CHOYP_LOC100375791.1.1m.18116",-0.047246,-0.20617,0.83885,0.94068
"CHOYP_LOC100378570.1.1m.25501",-0.047246,-0.20617,0.83885,0.94068
"CHOYP_CCNL1.1.2m.9018",-0.047246,-0.20617,0.83885,0.94068
"CHOYP_RHDF1.3.3m.54744",-0.047246,-0.20617,0.83885,0.94068
"CHOYP_TOLL-1.1.1m.37581",-0.047246,-0.20617,0.83885,0.94068
"CHOYP_BRAFLDRAFT_251779.1.2m.6830",-0.047246,-0.20617,0.83885,0.94068
"CHOYP_LOC732961.1.1m.29082",-0.047246,-0.20617,0.83885,0.94068
"CHOYP_PCDH9.2.5m.34196",-0.047246,-0.20617,0.83885,0.94068
"CHOYP_KRP95.1.1m.13582",-0.047246,-0.20617,0.83885,0.94068
"CHOYP_LOC100373492.1.1m.24527",-0.047246,-0.20617,0.83885,0.94068
"CHOYP_contig_047214m.55631",-0.047246,-0.20617,0.83885,0.94068
"CHOYP_contig_032098m.36603",-0.047246,-0.20617,0.83885,0.94068
"CHOYP_BRAFLDRAFT_118535.3.8m.35521",-0.047246,-0.20617,0.83885,0.94068
"CHOYP_contig_021278m.24464",-0.047246,-0.20617,0.83885,0.94068
"CHOYP_CASP7.16.23m.50828",-0.047246,-0.20617,0.83885,0.94068
"CHOYP_LOAG_05718.1.1m.48540",0.047106,0.20556,0.83932,0.9409
"CHOYP_CEP76.1.1m.6264",0.047088,0.20548,0.83938,0.9409
"CHOYP_LOC575509.2.2m.63548",-0.047086,-0.20547,0.83939,0.9409
"CHOYP_LOC100373287.1.1m.36226",0.04704,0.20527,0.83954,0.94095
"CHOYP_BRAFLDRAFT_126603.1.1m.31078",0.046992,0.20506,0.83971,0.941
"CHOYP_LOC100373484.1.1m.8540",-0.046957,-0.20491,0.83982,0.94101
"CHOYP_BRAFLDRAFT_121562.1.1m.37268",-0.04668,-0.2037,0.84076,0.94125
"CHOYP_LOC101064182.1.1m.8320",0.046625,0.20346,0.84094,0.94125
"CHOYP_LOC755521.5.28m.32618",0.046625,0.20346,0.84094,0.94125
"CHOYP_ISCW_ISCW022842.1.1m.5648",0.046625,0.20346,0.84094,0.94125
"CHOYP_TEN2.1.2m.44821",-0.046625,-0.20346,0.84094,0.94125
"CHOYP_GALNS.1.1m.66165",0.046625,0.20346,0.84094,0.94125
"CHOYP_contig_041950m.48134",0.046625,0.20346,0.84094,0.94125
"CHOYP_ISCW_ISCW012366.1.1m.3690",-0.046625,-0.20346,0.84094,0.94125
"CHOYP_CO2A1.1.1m.62996",0.046174,0.20148,0.84246,0.94236
"CHOYP_LOC100367974.1.3m.19352",-0.046148,-0.20137,0.84255,0.94236
"CHOYP_SRAP.16.18m.58654",-0.046084,-0.20109,0.84277,0.94236
"CHOYP_BRAFLDRAFT_261932.1.1m.23690",-0.046029,-0.20085,0.84295,0.94236
"CHOYP_LOC100890342.1.1m.10194",0.046029,0.20085,0.84295,0.94236
"CHOYP_RADI.2.2m.22446",-0.046029,-0.20085,0.84295,0.94236
"CHOYP_RTTN.1.3m.9025",-0.046029,-0.20085,0.84295,0.94236
"CHOYP_LOC100691034.1.2m.10976",0.046029,0.20085,0.84295,0.94236
"CHOYP_LOC100374772.1.4m.30631",0.046029,0.20085,0.84295,0.94236
"CHOYP_contig_047449m.55959",-0.045847,-0.20005,0.84357,0.94292
"CHOYP_BRAFLDRAFT_104160.1.1m.29524",0.045707,0.19944,0.84404,0.94332
"CHOYP_BRAFLDRAFT_70886.1.1m.53762",-0.045568,-0.19883,0.84451,0.94372
"CHOYP_TEKT5.1.1m.60033",-0.045421,-0.19819,0.845,0.94415
"CHOYP_EF1B.2.7m.30853",-0.045363,-0.19794,0.8452,0.94424
"CHOYP_LOC591898.2.2m.29158",0.045279,0.19757,0.84548,0.94432
"CHOYP_ERP44.1.1m.3853",0.045272,0.19754,0.84551,0.94432
"CHOYP_LOC100533294.2.3m.36820",-0.04524,-0.1974,0.84561,0.94432
"CHOYP_Y054.1.1m.9666",0.045038,0.19651,0.84629,0.94484
"CHOYP_ALPHATUB84D.1.1m.16562",0.044979,0.19626,0.84649,0.94484
"CHOYP_MGC82409.1.1m.44657",0.044978,0.19625,0.8465,0.94484
"CHOYP_CDPKM.1.1m.58179",-0.044923,-0.19601,0.84668,0.94484
"CHOYP_LOC100489926.1.3m.3642",0.044901,0.19592,0.84675,0.94484
"CHOYP_contig_034934m.39632",0.044901,0.19592,0.84675,0.94484
"CHOYP_BRAFLDRAFT_58684.1.1m.13006",-0.044566,-0.19445,0.84789,0.94565
"CHOYP_RAS.1.1m.57089",-0.044558,-0.19442,0.84791,0.94565
"CHOYP_SAMH1.12.12m.66249",0.044508,0.1942,0.84808,0.94565
"CHOYP_ACT5.3.3m.41147",-0.044493,-0.19413,0.84813,0.94565
"CHOYP_BRAFLDRAFT_123969.1.1m.15145",0.044491,0.19412,0.84814,0.94565
"CHOYP_PCID2.1.1m.28679",-0.044485,-0.1941,0.84816,0.94565
"CHOYP_NEMVEDRAFT_V1G197278.1.1m.45568",0.044237,0.19302,0.849,0.94629
"CHOYP_ISCW_ISCW019130.1.2m.10722",0.044237,0.19302,0.849,0.94629
"CHOYP_RL17.7.7m.57535",-0.044196,-0.19283,0.84914,0.94629
"CHOYP_ZFR.1.1m.57469",-0.044141,-0.19259,0.84932,0.94629
"CHOYP_TRA2A.1.1m.21305",0.044108,0.19245,0.84943,0.94629
"CHOYP_LOC100740578.1.1m.65702",0.044108,0.19245,0.84943,0.94629
"CHOYP_CRE_29942.1.1m.48587",-0.04408,-0.19233,0.84953,0.94629
"CHOYP_LOC100369985.1.1m.35628",0.043953,0.19177,0.84995,0.94664
"CHOYP_BRCC3.1.1m.66615",0.043727,0.19078,0.85072,0.94704
"CHOYP_BRAFLDRAFT_127065.4.7m.28277",0.043727,0.19078,0.85072,0.94704
"CHOYP_LOC100533455.1.9m.3607",-0.043727,-0.19078,0.85072,0.94704
"CHOYP_LOC660338.1.1m.33595",-0.043713,-0.19072,0.85077,0.94704
"CHOYP_P4R3A.1.1m.1043",-0.043374,-0.18924,0.85191,0.94801
"CHOYP_LOC100375219.1.1m.30269",-0.043355,-0.18916,0.85197,0.94801
"CHOYP_contig_022863m.26088",0.043295,0.18889,0.85218,0.94801
"CHOYP_BRAFLDRAFT_74594.1.3m.1187",-0.043234,-0.18863,0.85238,0.94801
"CHOYP_STT3A.1.1m.40532",-0.043219,-0.18856,0.85243,0.94801
"CHOYP_FUMH.2.2m.55401",0.043219,0.18856,0.85243,0.94801
"CHOYP_BLMH.1.1m.66065",0.043217,0.18856,0.85244,0.94801
"CHOYP_UBC12.1.1m.51806",-0.04314,-0.18822,0.8527,0.94818
"CHOYP_BRAFLDRAFT_284587.1.3m.284",-0.043046,-0.18781,0.85302,0.94821
"CHOYP_contig_014357m.16429",-0.043023,-0.18771,0.8531,0.94821
"CHOYP_NEMVEDRAFT_V1G173950.1.1m.13512",0.043012,0.18766,0.85313,0.94821
"CHOYP_LOC552024.1.1m.5290",-0.042998,-0.1876,0.85318,0.94821
"CHOYP_contig_055102m.65741",0.042913,0.18722,0.85347,0.9484
"CHOYP_LOC726145.1.1m.27163",-0.042862,-0.187,0.85364,0.94847
"CHOYP_KHDR1.1.1m.8878",-0.042563,-0.1857,0.85465,0.94942
"CHOYP_S12A2.2.2m.39394",-0.042512,-0.18547,0.85483,0.94942
"CHOYP_LOC100366482.1.1m.9777",-0.042499,-0.18542,0.85487,0.94942
"CHOYP_BZW1.1.1m.44089",-0.042474,-0.18531,0.85495,0.94942
"CHOYP_LOC663155.1.1m.62768",-0.042058,-0.18349,0.85636,0.95085
"CHOYP_ARL6IP1.1.1m.13877",0.041739,0.1821,0.85744,0.95163
"CHOYP_BRAFLDRAFT_92398.1.2m.15178",0.041739,0.1821,0.85744,0.95163
"CHOYP_NEMVEDRAFT_V1G135670.1.1m.18689",-0.041726,-0.18204,0.85748,0.95163
"CHOYP_SART1.1.1m.14398",-0.041715,-0.18199,0.85752,0.95163
"CHOYP_CASP2.5.5m.35953",-0.041631,-0.18162,0.8578,0.95182
"CHOYP_LOC100375357.1.1m.46425",0.041475,0.18094,0.85833,0.95228
"CHOYP_RS16.1.5m.29365",0.041262,0.18001,0.85905,0.95295
"CHOYP_WDR61.1.2m.7565",-0.041178,-0.17964,0.85933,0.95314
"CHOYP_LOC100374446.1.1m.29971",-0.041065,-0.17915,0.85972,0.95344
"CHOYP_BRAFLDRAFT_124972.1.5m.3844",-0.04099,-0.17882,0.85997,0.95359
"CHOYP_BRAFLDRAFT_218889.2.2m.58058",0.04095,0.17865,0.86011,0.95362
"CHOYP_DYHC2.2.2m.31941",0.040845,0.17819,0.86046,0.95383
"CHOYP_contig_010226m.11916",0.040825,0.1781,0.86053,0.95383
"CHOYP_BRAFLDRAFT_67520.1.2m.16093",-0.040791,-0.17795,0.86064,0.95383
"CHOYP_MEST.2.2m.55065",-0.040754,-0.17779,0.86077,0.95384
"CHOYP_LOC578627.1.1m.61950",0.040589,0.17707,0.86133,0.95434
"CHOYP_BRAFLDRAFT_217424.2.2m.44576",0.040511,0.17673,0.86159,0.9545
"CHOYP_LOC584481.5.10m.52126",-0.040365,-0.17609,0.86209,0.95492
"CHOYP_ENOPH.3.4m.51956",0.040305,0.17583,0.86229,0.95501
"CHOYP_RL18A.1.8m.12900",-0.040267,-0.17566,0.86242,0.95501
"CHOYP_DIS3.1.1m.6724",-0.040193,-0.17534,0.86267,0.95501
"CHOYP_BRAFLDRAFT_104472.1.1m.16220",-0.040193,-0.17534,0.86267,0.95501
"CHOYP_GRM1.2.2m.65835",-0.040172,-0.17525,0.86274,0.95501
"CHOYP_LOC586835.1.1m.9967",-0.040118,-0.17501,0.86292,0.95509
"CHOYP_LOC578680.1.1m.49370",-0.04005,-0.17471,0.86315,0.95522
"CHOYP_NASP.2.4m.13404",0.039964,0.17434,0.86344,0.95535
"CHOYP_LOC100492442.1.1m.16466",-0.039947,-0.17426,0.8635,0.95535
"CHOYP_LOC100377100.1.1m.51994",0.039904,0.17408,0.86365,0.95538
"CHOYP_LOC100367949.2.3m.55056",-0.039859,-0.17388,0.8638,0.95543
"CHOYP_VPS11.3.3m.17579",-0.039798,-0.17361,0.86401,0.95553
"CHOYP_DMBT1.3.34m.3602",0.039611,0.1728,0.86464,0.95599
"CHOYP_NEMVEDRAFT_V1G106520.1.1m.14881",0.039601,0.17275,0.86467,0.95599
"CHOYP_TBRG4.1.1m.48213",0.039528,0.17244,0.86492,0.95599
"CHOYP_RS14.3.6m.23056",-0.039528,-0.17244,0.86492,0.95599
"CHOYP_DFER_5601.1.1m.49215",-0.039436,-0.17203,0.86523,0.95599
"CHOYP_YL8A.1.1m.29604",-0.039436,-0.17203,0.86523,0.95599
"CHOYP_DNJC7.1.1m.8987",-0.039436,-0.17203,0.86523,0.95599
"CHOYP_ISCW_ISCW016289.1.1m.12312",-0.039348,-0.17165,0.86553,0.9562
"CHOYP_LOC100208544.1.1m.54499",0.039253,0.17123,0.86585,0.95643
"CHOYP_SC6A5.3.7m.20491",-0.039043,-0.17032,0.86656,0.95704
"CHOYP_PSA6.1.1m.30357",0.039021,0.17022,0.86664,0.95704
"CHOYP_BRAFLDRAFT_114859.1.1m.37271",-0.038964,-0.16997,0.86683,0.95708
"CHOYP_LOC100370900.1.1m.20012",0.038943,0.16988,0.8669,0.95708
"CHOYP_TRXR2.1.1m.10443",0.038808,0.16929,0.86736,0.95742
"CHOYP_RL24.6.9m.43124",-0.038786,-0.16919,0.86744,0.95742
"CHOYP_BRAFLDRAFT_120586.1.1m.41856",0.038693,0.16879,0.86775,0.95745
"CHOYP_PHUM_PHUM477110.1.1m.53813",0.03863,0.16851,0.86796,0.95745
"CHOYP_OST48.1.1m.43513",-0.038554,-0.16818,0.86822,0.95745
"CHOYP_ISCW_ISCW021591.1.1m.13970",0.038516,0.16801,0.86835,0.95745
"CHOYP_TCPB.1.1m.6398",0.038128,0.16632,0.86966,0.95745
"CHOYP_LOC100367726.1.2m.47322",-0.038122,-0.16629,0.86969,0.95745
"CHOYP_LOC100646535.1.1m.61774",0.038091,0.16616,0.86979,0.95745
"CHOYP_BRAFLDRAFT_266349.1.1m.9217",0.038064,0.16604,0.86988,0.95745
"CHOYP_NEMVEDRAFT_V1G244113.1.1m.22167",-0.038042,-0.16594,0.86996,0.95745
"CHOYP_AMDHD2.2.2m.52160",-0.037905,-0.16534,0.87042,0.95745
"CHOYP_GRK5.1.1m.6617",0.037796,0.16487,0.87079,0.95745
"CHOYP_ARP8.1.1m.10729",0.037796,0.16487,0.87079,0.95745
"CHOYP_LOC100486357.1.1m.51050",0.037796,0.16487,0.87079,0.95745
"CHOYP_LOC100313649.1.1m.49801",0.037725,0.16456,0.87103,0.95745
"CHOYP_LOC100371761.1.1m.57462",0.037725,0.16456,0.87103,0.95745
"CHOYP_LOC101164482.1.1m.44586",0.037698,0.16444,0.87112,0.95745
"CHOYP_contig_019238m.22546",0.037635,0.16417,0.87133,0.95745
"CHOYP_LOC101075536.1.1m.42991",-0.037576,-0.1639,0.87154,0.95745
"CHOYP_LOC100373146.2.2m.27802",-0.037547,-0.16378,0.87163,0.95745
"CHOYP_HSP70.1.1m.61727",0.037477,0.16347,0.87187,0.95745
"CHOYP_RIF1.1.1m.13682",0.037477,0.16347,0.87187,0.95745
"CHOYP_LOC100749506.1.1m.8950",0.037477,0.16347,0.87187,0.95745
"CHOYP_LOC101033229.1.1m.38291",0.037477,0.16347,0.87187,0.95745
"CHOYP_NEMVEDRAFT_V1G233184.1.1m.18285",-0.037477,-0.16347,0.87187,0.95745
"CHOYP_UBP19.1.1m.55642",0.037477,0.16347,0.87187,0.95745
"CHOYP_contig_004890m.5604",-0.037477,-0.16347,0.87187,0.95745
"CHOYP_PDIA6.2.2m.58490",0.037477,0.16347,0.87187,0.95745
"CHOYP_contig_023964m.27264",0.037477,0.16347,0.87187,0.95745
"CHOYP_LOC580197.1.1m.4591",0.037477,0.16347,0.87187,0.95745
"CHOYP_contig_055404m.66082",0.037477,0.16347,0.87187,0.95745
"CHOYP_LOC100696668.1.1m.31105",0.037477,0.16347,0.87187,0.95745
"CHOYP_BRAFLDRAFT_217516.1.1m.18628",-0.037328,-0.16282,0.87238,0.95745
"CHOYP_VATD.2.2m.64245",-0.037302,-0.16271,0.87246,0.95745
"CHOYP_HS12A.20.33m.55554",-0.037242,-0.16245,0.87267,0.95745
"CHOYP_BRAFLDRAFT_203393.1.2m.16760",-0.037242,-0.16245,0.87267,0.95745
"CHOYP_EDI_048910.1.2m.31504",0.037165,0.16211,0.87293,0.95745
"CHOYP_LOC577190.1.1m.18117",-0.037165,-0.16211,0.87293,0.95745
"CHOYP_BRAFLDRAFT_223290.2.2m.30918",0.037165,0.16211,0.87293,0.95745
"CHOYP_LOC100696985.1.1m.17599",0.037165,0.16211,0.87293,0.95745
"CHOYP_CRE_02254.1.1m.12455",0.037165,0.16211,0.87293,0.95745
"CHOYP_MEGF6.52.59m.54262",0.037165,0.16211,0.87293,0.95745
"CHOYP_BRAFLDRAFT_284508.1.1m.4587",-0.037165,-0.16211,0.87293,0.95745
"CHOYP_NEMVEDRAFT_V1G224038.3.5m.31061",-0.037165,-0.16211,0.87293,0.95745
"CHOYP_TVAG_087170.4.8m.31291",0.037165,0.16211,0.87293,0.95745
"CHOYP_LOC100167728.1.2m.2289",-0.037165,-0.16211,0.87293,0.95745
"CHOYP_LOC100373169.1.1m.15573",-0.037165,-0.16211,0.87293,0.95745
"CHOYP_PHUM_PHUM498130.1.1m.12138",0.037165,0.16211,0.87293,0.95745
"CHOYP_LOC100377412.1.1m.41404",0.037141,0.162,0.87301,0.95745
"CHOYP_CTL2.1.2m.3858",0.037108,0.16186,0.87312,0.95745
"CHOYP_LOC100378619.1.2m.21468",0.037085,0.16176,0.8732,0.95745
"CHOYP_PHUM_PHUM361660.1.1m.63423",-0.036981,-0.16131,0.87355,0.95771
"CHOYP_DDX46.1.1m.52473",-0.036936,-0.16111,0.87371,0.95775
"CHOYP_CBG11254.1.1m.9107",-0.036545,-0.1594,0.87503,0.95908
"CHOYP_SPT6H.1.1m.55595",-0.03645,-0.15899,0.87536,0.9593
"CHOYP_LOC100115776.1.1m.24729",0.036298,0.15832,0.87587,0.95974
"CHOYP_BRAFLDRAFT_77063.1.1m.8252",-0.036251,-0.15812,0.87603,0.95979
"CHOYP_LOC754102.1.1m.57575",-0.036185,-0.15783,0.87626,0.95991
"CHOYP_LOC753939.1.1m.44379",0.03598,0.15693,0.87695,0.96055
"CHOYP_LOC579832.2.2m.47454",0.035898,0.15658,0.87723,0.96058
"CHOYP_TPM.19.19m.66623",0.035851,0.15637,0.87739,0.96058
"CHOYP_contig_056033m.66621",-0.035846,-0.15635,0.87741,0.96058
"CHOYP_LOC100116719.1.1m.58",-0.035834,-0.1563,0.87745,0.96058
"CHOYP_LOC100533387.1.1m.56131",-0.035798,-0.15614,0.87757,0.96059
"CHOYP_BRAFLDRAFT_212086.4.11m.42448",-0.035714,-0.15577,0.87785,0.96078
"CHOYP_LOC587972.1.2m.3283",-0.035562,-0.15511,0.87837,0.96122
"CHOYP_PRPF4.1.1m.62194",-0.035496,-0.15482,0.87859,0.96134
"CHOYP_LOC588549.1.2m.1855",0.035385,0.15434,0.87897,0.96162
"CHOYP_NEC1.1.1m.63094",-0.035317,-0.15404,0.8792,0.96175
"CHOYP_CECR2.2.3m.13613",0.035245,0.15373,0.87945,0.96188
"CHOYP_RENT1.1.1m.44133",-0.035214,-0.15359,0.87955,0.96188
"CHOYP_Y0777.3.3m.60141",0.034982,0.15257,0.88034,0.96262
"CHOYP_AAEL_AAEL012950.1.1m.1373",0.034944,0.15241,0.88047,0.96263
