"","correlation","t-stat","p-value","FDR"
"CHOYP_DVIR_GJ21252.1.1m.10086",0.52771,2.708,0.013947,0.50626
"CHOYP_TRIADDRAFT_25769.1.1m.25945",0.52766,2.7076,0.013958,0.50626
"CHOYP_HSPA12A.16.27m.48207",0.52669,2.7007,0.014168,0.51163
"CHOYP_BRAFLDRAFT_125405.1.1m.5741",0.5258,2.6944,0.01436,0.51635
"CHOYP_LOC100180023.1.7m.11060",0.52538,2.6915,0.014453,0.51745
"CHOYP_ZN729.1.1m.13702",0.52467,2.6865,0.01461,0.51958
"CHOYP_LOC660510.1.1m.56258",0.52455,2.6856,0.014637,0.51958
"CHOYP_UBP15.4.4m.56615",0.52397,2.6815,0.014767,0.52017
"CHOYP_PDLI1.2.2m.2094",0.5239,2.681,0.014782,0.52017
"CHOYP_LOC100543709.1.1m.32086",0.52326,2.6765,0.014927,0.52017
"CHOYP_KINH.1.9m.1032",0.52274,2.6728,0.015045,0.52017
"CHOYP_LOC100373522.2.5m.19698",0.52266,2.6723,0.015062,0.52017
"CHOYP_SEPT5.1.2m.11458",0.52246,2.6709,0.015108,0.52017
"CHOYP_LOC100376308.1.1m.60595",0.52225,2.6694,0.015156,0.52017
"CHOYP_MPI.1.1m.35645",0.52223,2.6693,0.01516,0.52017
"CHOYP_QTRTD1.1.1m.19041",0.522,2.6676,0.015215,0.52017
"CHOYP_contig_013806m.15731",0.52133,2.6629,0.015369,0.52328
"CHOYP_LOC100890106.1.1m.40543",0.52071,2.6586,0.015511,0.52408
"CHOYP_AAEL_AAEL006988.1.1m.49733",0.5197,2.6515,0.015749,0.52408
"CHOYP_contig_052147m.62461",0.5197,2.6515,0.015749,0.52408
"CHOYP_contig_024342m.27673",0.5197,2.6515,0.015749,0.52408
"CHOYP_LOC100368117.1.1m.27153",0.51962,2.6509,0.01577,0.52408
"CHOYP_ALF.1.3m.25601",0.51916,2.6477,0.015877,0.52408
"CHOYP_PCF11.1.1m.49191",0.51912,2.6475,0.015886,0.52408
"CHOYP_BRAFLDRAFT_99630.3.9m.20020",0.51894,2.6462,0.015931,0.52408
"CHOYP_FUCO.2.2m.58905",0.51879,2.6451,0.015967,0.52408
"CHOYP_LOC100367470.1.1m.51904",0.51856,2.6436,0.01602,0.52408
"CHOYP_PCDH9.5.5m.59488",-0.51791,-2.639,0.016178,0.52716
"CHOYP_PARP14.14.22m.52621",-0.5171,-2.6334,0.016373,0.52816
"CHOYP_ANS1B.1.1m.46724",0.51698,2.6325,0.016403,0.52816
"CHOYP_BRAFLDRAFT_281070.1.1m.1319",0.51676,2.6311,0.016456,0.52816
"CHOYP_LOC100888300.1.2m.10203",0.51663,2.6301,0.016489,0.52816
"CHOYP_TFG.1.1m.8487",0.51605,2.6261,0.01663,0.52816
"CHOYP_BRAFLDRAFT_73991.2.2m.60726",0.51532,2.6211,0.016812,0.52816
"CHOYP_SEPT2.1.1m.40428",0.51488,2.618,0.016921,0.52816
"CHOYP_CALUB.2.2m.58007",0.51404,2.6122,0.017134,0.52816
"CHOYP_GIGA3.1.1m.42774",0.51351,2.6085,0.017268,0.52816
"CHOYP_DCTN4.1.1m.29541",0.5132,2.6064,0.017347,0.52816
"CHOYP_ENO.1.2m.7681",0.51252,2.6017,0.017521,0.52816
"CHOYP_QPCT.1.1m.38977",0.5125,2.6016,0.017525,0.52816
"CHOYP_LOC100377780.8.11m.53259",-0.51218,-2.5994,0.017609,0.52816
"CHOYP_PDXK.1.1m.14904",0.51204,2.5984,0.017644,0.52816
"CHOYP_MYSP.1.9m.1097",0.51153,2.5949,0.017779,0.52816
"CHOYP_DHX8.2.3m.55114",0.51147,2.5945,0.017794,0.52816
"CHOYP_LOC592357.1.1m.27228",0.51133,2.5935,0.01783,0.52816
"CHOYP_PHUM_PHUM494500.1.1m.9430",0.51075,2.5896,0.017981,0.52816
"CHOYP_BRAFLDRAFT_269209.1.1m.4681",0.51074,2.5895,0.017983,0.52816
"CHOYP_RHG18.1.1m.24618",0.51031,2.5865,0.018098,0.52816
"CHOYP_LOC100697247.1.2m.37588",0.51031,2.5865,0.018098,0.52816
"CHOYP_SMP_006860.2.1.4m.8660",0.50999,2.5843,0.018183,0.52816
"CHOYP_TACC1.2.2m.53512",0.50921,2.579,0.018391,0.52816
"CHOYP_LOC101040300.1.2m.6533",0.50921,2.579,0.018391,0.52816
"CHOYP_STAR5.2.2m.39352",0.50917,2.5787,0.0184,0.52816
"CHOYP_5NT3.1.1m.24925",-0.50917,-2.5787,0.0184,0.52816
"CHOYP_GSH1.1.1m.8927",0.50793,2.5703,0.018735,0.52816
"CHOYP_EIN_201030.1.3m.20334",0.50767,2.5685,0.018805,0.52816
"CHOYP_LOC100232691.1.1m.15025",-0.50767,-2.5685,0.018805,0.52816
"CHOYP_CYIIB.2.2m.64545",0.50767,2.5685,0.018805,0.52816
"CHOYP_AMACR.1.1m.21950",-0.50718,-2.5651,0.018941,0.52816
"CHOYP_LOC100636340.1.4m.5143",-0.50703,-2.5641,0.018982,0.52816
"CHOYP_DGRI_GH15313.1.1m.5763",0.50633,2.5594,0.019174,0.52816
"CHOYP_BRAFLDRAFT_87630.1.1m.30352",0.50632,2.5593,0.019178,0.52816
"CHOYP_LOC101069006.1.2m.5484",0.50614,2.5581,0.019228,0.52816
"CHOYP_SSU72.1.1m.2079",0.50589,2.5564,0.019296,0.52816
"CHOYP_LOC100890653.1.1m.13755",-0.50572,-2.5552,0.019343,0.52816
"CHOYP_FABP7.2.2m.29096",0.50501,2.5504,0.019543,0.52816
"CHOYP_LOC100372221.2.2m.48004",0.50469,2.5483,0.019631,0.52816
"CHOYP_contig_004972m.5699",0.50467,2.5481,0.019637,0.52816
"CHOYP_LOC100212224.1.1m.37724",0.50466,2.548,0.019641,0.52816
"CHOYP_IMA2.1.2m.35753",0.50436,2.546,0.019727,0.52816
"CHOYP_GELS2.2.2m.30443",0.50422,2.545,0.019766,0.52816
"CHOYP_SYB.1.3m.25801",-0.50421,-2.545,0.019767,0.52816
"CHOYP_AAEL_AAEL008069.1.2m.58164",0.50386,2.5426,0.019868,0.52816
"CHOYP_ITSN1.4.4m.35131",0.50378,2.5421,0.019891,0.52816
"CHOYP_LOC100181607.1.2m.36709",0.50306,2.5372,0.020097,0.52816
"CHOYP_NEMVEDRAFT_V1G237629.1.1m.24486",0.50278,2.5353,0.020178,0.52816
