"","f.value","p.value","-log10(p)","FDR","Fisher's LSD"
"CHOYP_LOC100375230.1.1m.52612",9.6667,0.00026072,3.5838,0.019953,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_ODH.1.2m.1327",9.6276,0.00026639,3.5745,0.020182,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 5; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_contig_004572m.5255",9.5364,0.00028016,3.5526,0.020182,"11 - 3; 11 - 5; 11 - 7; 13 - 3; 13 - 5; 13 - 7; 15 - 3; 15 - 5; 15 - 7; 15 - 9; 9 - 3; 9 - 5"
"CHOYP_LOC100369384.1.1m.47986",9.5333,0.00028064,3.5519,0.020182,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_LOC101033229.1.1m.38291",9.5333,0.00028064,3.5519,0.020182,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_LOC100368219.2.5m.38385",9.5333,0.00028064,3.5519,0.020182,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_PDIA6.2.2m.58490",9.5333,0.00028064,3.5519,0.020182,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_HSP70.1.1m.61727",9.5333,0.00028064,3.5519,0.020182,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_LOC577371.1.2m.46335",9.517,0.0002832,3.5479,0.020192,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 9; 5 - 9"
"CHOYP_BRAFLDRAFT_118756.1.2m.16721",9.3115,0.00031775,3.4979,0.022201,"13 - 11; 15 - 11; 15 - 13; 13 - 3; 13 - 5; 13 - 9; 15 - 3; 15 - 5; 15 - 7; 15 - 9"
"CHOYP_LOC100533367.1.1m.49626",9.2874,0.00032211,3.492,0.022201,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 5; 3 - 7; 3 - 9; 5 - 9; 7 - 9"
"CHOYP_BRAFLDRAFT_123969.1.1m.15145",9.2802,0.00032343,3.4902,0.022201,"13 - 11; 15 - 11; 3 - 11; 5 - 11; 7 - 11; 9 - 11; 5 - 13; 7 - 13; 5 - 15; 7 - 15; 5 - 9; 7 - 9"
"CHOYP_BRAFLDRAFT_125862.1.1m.27159",9.2737,0.00032461,3.4886,0.022201,"3 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15; 3 - 5; 3 - 9"
"CHOYP_SCP.8.12m.57173",9.2733,0.00032469,3.4885,0.022201,"11 - 3; 13 - 3; 13 - 5; 13 - 7; 13 - 9; 15 - 3; 15 - 5; 5 - 3; 7 - 3; 9 - 3"
