protein_ID,Day_3_23_C,Day_5_23_C,Day_7_23_C,Day_9_23_C,Day_11_23_C,Day_13_23_C,Day_3_29_C,Day_5_29_C,Day_7_29_C,Day_9_29_C,Day_11_29_C,Day_13_29_C,clusterID,ClusterColor
CHOYP_LOC100875585.1.1.m.8714,15.8921,8.52275,19.31825,18.37395,13.02755,14.46825,13.55055,11.6496,21.1113,13.4429,5.00415,11.30975,14,purple
CHOYP_TPM2.8.8.m.50799,48.61635,0.1,0.1,23.6224,0.1,20.717,0.1,40.0687,103.56905,0.1,12.78145,27.48925,14,purple
CHOYP_TRIADDRAFT_63666.3.3.m.57696,75.5578,45.2253,65.02415,55.51485,42.76625,65.08375,67.3331,72.7497,86.1536,41.4778,56.85585,63.45205,14,purple
CHOYP_TNNC.1.1.m.66691,219.06835,152.94355,194.4996,139.46295,176.23865,243.50365,186.5824,181.43585,257.934,182.31105,238.73265,211.9697,14,purple
CHOYP_LOC100533294.1.3.m.35108,226.3257,204.63215,227.36825,212.37445,219.7757,329.5942,249.87565,267.15985,315.5997,214.5184,221.9274,260.9907,14,purple
CHOYP_GRP78.2.5.m.33058,123.3605,108.79245,114.31075,104.82245,110.4742,151.07635,120.9052,133.2981,150.2686,112.385,120.8535,153.6893,14,purple
CHOYP_ACT.6.27.m.15622,0.1,0.1,334.28085,0.1,0.1,425.9015,0.1,0.1,0.1,0.1,0.1,0.1,11,springgreen
CHOYP_LOC100372473.2.5.m.35440,1.61575,0.1,1.74395,1.7529,0.1,15.15355,0.1,5.494,3.982,0.1,0.1,0.1,11,springgreen
CHOYP_TBA.5.6.m.37448,4.073,12.07275,8.4994,21.62265,36.45855,99.6944,16.95025,0.1,0.1,4.46465,13.9508,32.9151,11,springgreen
CHOYP_PHUM_PHUM226120.2.7.m.2274,3.0754,4.6058,8.5284,4.736,5.55075,62.9229,5.413,6.6137,9.7317,6.11965,13.5785,5.19175,11,springgreen
CHOYP_TVAG_355490.7.22.m.16997,1.13645,0.1,2.009,0.8117,3.3821,11.4998,1.58785,0.1,0.1,0.1,2.14615,0.1,11,springgreen
