gene,Day11_23C,Day11_29C,Day13_23C,Day13_29C,Day3_23C,Day3_29C,Day5_23C,Day5_29C,Day7_23C,Day7_29C,Day9_23C,Day9_29C
IF2A,66.3508,68.78015,62.79195,55.5294,63.46375,70.4576,67.17505,55.61665,74.0649,53.26825,60.67355,62.48425
NDUS3,31.1401,6.80475,57.19835,28.6021,27.7339,45.9183,47.732,31.86805,56.5607,29.7575,58.6962,43.38455
ERP29,48.5257,62.23445,31.77855,59.5877,27.99085,41.75385,44.86295,50.74515,41.93365,53.8851,52.84215,59.6403
ANM1,68.9431,50.55215,62.8813,37.21395,42.87335,54.0226,66.70235,48.8149,67.301,55.75725,73.56045,51.5819
KARG,363.81615,437.23165,476.5744,451.4212,410.63725,343.2885,341.04545,372.35145,354.04625,414.0703,363.883,382.3525
KCP,42.7319,23.59355,28.3721,30.21965,0,41.67165,32.7741,25.36065,43.61745,49.68955,34.7568,50.85255
KCY.1.1.m.29973,78.4603,110.803,57.1457,80.0898,63.6239,87.5807,48.0216,54.3958,76.47595,104.3822,42.04945,94.0673
RL402,0,2.97145,0,0,0,0,0,40.6487,0,0,54.1412,0
UNC89,1.22095,2.7198,0.8947,1.33875,3.46145,4.11175,4.56175,1.9669,1.84155,1.63105,2.07345,1.1888
CO6A4.1.3.m.5994,0,0,18.3747,12.1782,1.6214,0,23.82645,11.7044,7.42245,15.7826,11.678,9.4541
VATF,58.934,34.88475,77.7367,54,73.776,50.38505,43.5905,79.1717,64.1583,76.40515,46.2942,71.46135
MYDGF.1.1.m.22032,66.20035,74.72465,66.40635,42.5367,55.0928,54.52605,31.673,70.5721,54.6285,69.3415,62.3906,79.3424
KCY.1.1.m.2987,30.92425,0,49.64275,37.67485,63.6239,41.0455,52.27795,52.92445,76.47595,0,37.7597,0
RLA2.1.7.m.1896,122.8805,124.31315,45.56585,88.00615,70.83475,89.711,76.24115,91.49025,90.79335,59.505,65.59305,150.3489
RLA2.4.7.m.28172,358.2401,324.1622,338.44985,220.06945,207.79305,254.35675,304.21635,236.54615,290.10765,249.49995,342.48945,331.82225
USPAL,62.4904,73.78105,50.7204,63.50385,88.92865,71.27105,67.88795,55.8702,51.8499,50.24485,45.81525,63.97995
RL6,135.64325,121.44005,139.9971,105.21215,100.07095,129.64695,132.7258,133.0672,121.9119,114.4833,135.77515,138.0993
CFA45,22.44865,24.73075,16.1486,14.9526,39.65865,15.23635,20.8735,18.39285,19.95905,21.565,20.21515,22.7574
ASNS,37.23715,16.5794,30.651,8.0291,1.0193,13.2806,38.04445,31.9299,67.57945,34.0621,59.8649,24.4012
GLYC,69.9267,64.36585,59.273,57.0243,51.819,59.3783,68.83345,80.4113,77.11845,63.82995,75.4137,65.34575
CFA57,5.9417,14.49785,12.0578,14.0235,33.684,14.7762,18.49505,16.41505,13.4969,13.1984,13.0372,8.1601
YR811,0,0,15.15355,0,1.61575,0,0,5.494,1.74395,3.982,1.7529,0
VWKA,0,0,22.64735,0,18.6112,6.94305,11.0095,8.7312,1.23265,2.79515,1.2389,0
AN32A,87.99805,106.87275,71.3432,80.37595,103.5157,111.453,98.156,127.05225,84.11935,107.8417,80.66695,78.66415
DYH10,0.7672,1.5577,1.72,1.05855,11.57585,2.8745,4.34355,4.01715,4.21315,3.4266,3.50915,0.623
PPIB.1.1.m.55368,50.97145,42.9663,41.42595,62.0225,152.828,55.59835,50.4101,48.5371,45.06025,40.98305,61.53145,44.0093
ALRF2,48.2102,37.54095,34.64355,33.96345,44.48085,46.97945,44.92535,44.04325,47.06195,51.12305,112.3957,46.675
HYDIN.2.6.m.7640,0,0.4664,0.33125,0.47675,4.89115,2.04405,2.35735,2.0955,2.1671,1.6672,2.28555,0
HYDIN.4.6.m.27594,0,0.46445,0,0.8813,0,0,0,0,0,0,0,0
YD541,148.61675,124.3508,157.9409,166.95295,106.27985,126.1011,105.7047,136.08465,109.83915,145.73335,130.10575,140.23495
HPGDS,78.8635,74.42265,86.34565,55.1688,67.2882,49.01775,63.0757,76.6317,64.07995,67.2751,69.154,61.1283
RS12,162.14005,132.55155,149.2328,107.96195,104.39245,126.5814,116.86355,127.8405,147.6016,121.6691,140.014,140.04615
TEKT1,0,1.3704,0,0,33.79105,4.92175,3.5058,0,7.4045,8.7857,3.7507,0
SPTCB,0.33495,0.3917,0.6119,0.4578,0.19835,0.3616,0.4491,0.33745,0.31335,0.37245,0.37105,0.2128
SPTN5,18.414,22.0147,18.8455,24.1941,7.22455,14.98345,17.4225,21.19325,19.0295,19.31545,18.84055,19.5337
PMFBP.1.2.m.13657,0,0,6.184,0.5335,0,0,0,0,6.9196,10.11175,0,0
PMFBP.2.2.m.43339,13.42155,17.54435,6.0871,16.61135,17.20385,15.21765,14.74125,13.7698,12.7822,9.9532,12.17305,14.2877
CFA61,0.56235,1.1098,1.2647,0.5198,11.927,0.96915,1.84895,5.24765,3.4112,5.18985,1.0457,0
PLCL,0,0,0,0,78.84705,11.1043,0,0,0,0,0,0
CO6A3.5.9.m.39538,5.39815,8.5853,9.99985,6.93135,2.2291,5.01045,4.78825,1.9177,7.6931,8.7942,1.80595,3.6816
CO6A4.6.9.m.44250,0,0,0,0,0,0,0,0,0,0,0.52265,0
SSPO.3.8.m.32060,3.16915,2.26655,4.49215,2.2195,8.3134,0,8.6829,3.8962,3.04055,4.9242,3.2332,7.1548
SSPO.6.8.m.41866,0,0,0,0,30.3858,0,0,0,0,0,0,0
SSPO.7.8.m.41875,5.49785,5.2234,2.3503,4.40695,0,11.3891,3.46065,1.63065,5.78595,4.5892,5.99455,3.54245
CALR,219.7757,221.9274,329.5942,260.9907,226.3257,249.87565,204.63215,267.15985,227.36825,315.5997,212.37445,214.5184
IFEA.2.3.m.44496,252.37035,249.4629,240.01075,237.57375,131.05245,156.58515,166.6064,195.4916,205.0143,238.7891,203.90855,232.81455
FABP1.2.2.m.52097,78.7922,119.32145,154.5444,160.31695,77.36905,73.50565,97.33525,123.6117,106.33325,141.14,102.9474,106.093
CO6A3.1.1.m.64152,9.93275,7.21945,8.4817,4.3645,0.53485,2.39515,7.03245,15.89025,5.9958,8.3501,8.2336,6.92955
BP10,0,0,0,0,11.07665,0,0,0,0,0,0,0
ITIH4,11.92745,9.36155,13.69485,13.92465,0,14.19835,12.9381,13.99005,13.596,13.983,13.7629,10.2577
DMBT1,7.2748,3.0778,10.86165,3.4308,7.2605,7.4455,7.30975,6.6103,7.22825,8.8842,7.2919,3.18905
FAT4.1.1.m.65727,21.0009,22.12495,26.9649,24.94505,15.09895,21.97455,25.0066,26.1829,26.8999,28.18185,25.1603,19.55135
AL7A1,71.92165,71.5436,68.93215,65.76365,64.6397,63.85145,59.8332,74.97185,64.1115,64.2688,59.94365,77.80425
TCTP,441.3681,425.6754,159.66895,177.00385,167.74565,199.6737,214.8679,246.7877,187.204,172.79125,250.16115,461.85975
CO6A3.1.2.m.17960,0,0,0.60905,1.2539,0.86255,0,0,1.8359,1.29565,0.56255,2.1691,0
CAP1.1.2.m.7245,78.75975,84.48005,61.03525,76.4064,59.07755,64.61495,55.3003,28.5218,64.82935,61.08085,63.09435,41.82335
