protein,PC1loadings
CHOYP_LOC100202203.1.1|m.27309,0.00757049732881249
CHOYP_LOC100205674.1.1|m.5810,0.00121848464966919
CHOYP_LOC100207121.5.9|m.48175,0.013111068024418
CHOYP_LOC100208544.1.1|m.54499,-0.00154786201550962
CHOYP_LOC100210536.1.1|m.18414,-0.00784180360395679
CHOYP_LOC100212224.1.1|m.37724,0.0177533253720174
CHOYP_LOC100213558.1.1|m.45753,0.00105986361013124
CHOYP_LOC100215454.1.1|m.40627,0.0168956620538077
CHOYP_LOC100218754.1.1|m.60778,0.00582203686237302
CHOYP_ARMC6.1.1|m.28786,0.010393611423687
CHOYP_LOC100222629.1.1|m.9927,-0.00180186691490563
CHOYP_LOC100222774.1.1|m.56990,0.0327570728365045
CHOYP_LOC100232691.1.1|m.15025,-0.00408946449328775
CHOYP_LOC100313559.1.1|m.47009,0.00306213527392402
CHOYP_LOC100313569.1.1|m.15201,-0.0188147700421964
CHOYP_LOC100313573.1.1|m.62977,-0.00205246777430017
CHOYP_LOC100313589.1.1|m.31479,0.00381098386863999
CHOYP_LOC100313668.2.6|m.31487,-0.00577123305464936
CHOYP_LOC100313691.1.1|m.290,0.0192089019604719
CHOYP_LOC100329062.1.2|m.10150,0.004941295439751
CHOYP_ARMC9.1.1|m.57265,0.00670093254742899
CHOYP_LOC100329078.1.3|m.26927,-0.00177245241304758
CHOYP_LOC100329078.2.3|m.30776,-0.00438231642034634
CHOYP_LOC100346427.1.1|m.44592,-0.01514258706139
CHOYP_LOC100358262.2.3|m.28381,-0.0113907139057467
CHOYP_LOC100366344.1.1|m.7458,0.00111824987703438
CHOYP_LOC100366404.1.2|m.22137,0.00406598064043041
CHOYP_LOC100366408.1.1|m.37601,0.00882204642088511
CHOYP_LOC100366424.1.1|m.29609,0.00380182638181786
CHOYP_LOC100366428.1.1|m.3740,0.0114021554911508
CHOYP_LOC100366442.1.4|m.6288,0.018165200113469
CHOYP_ARNT.1.1|m.19078,0.0115280185293019
CHOYP_LOC100366451.1.1|m.10500,0.0048618632070653
CHOYP_LOC100366451.1.1|m.10501,-0.000259892781163021
CHOYP_LOC100366455.1.3|m.13543,0.0227360761025437
CHOYP_LOC100366455.3.3|m.28840,0.0192915655946368
CHOYP_LOC100366482.1.1|m.9777,0.022424627185942
CHOYP_LOC100366488.1.1|m.56518,-0.0010313369099203
CHOYP_LOC100366489.1.1|m.21907,-0.00695894153739992
CHOYP_LOC100366518.5.6|m.43397,0.00344989054183554
CHOYP_LOC100366606.1.2|m.47289,0.00345107407377926
CHOYP_LOC100366708.1.1|m.19335,0.000358850789997592
CHOYP_ARP3.1.1|m.6867,-0.00167768289623802
CHOYP_LOC100366728.1.1|m.57449,0.0260867950088628
CHOYP_LOC100366734.1.1|m.47271,0.0116468534155336
CHOYP_LOC100366754.1.1|m.49522,-0.00551361432875696
CHOYP_LOC100366763.1.1|m.53708,0.00999091553078122
CHOYP_LOC100366766.1.1|m.56292,0.00270182739262349
CHOYP_LOC100366787.1.1|m.65795,-0.000626714088384565
CHOYP_LOC100366862.1.1|m.62455,0.000529689085799906
CHOYP_LOC100366906.1.1|m.61901,0.00244584399030156
CHOYP_LOC100366927.1.1|m.6140,0.00919105476243419
CHOYP_LOC100366932.1.1|m.36598,-0.00543551808279934
CHOYP_AAEL_AAEL003539.1.1|m.16619,-0.000162816162846567
CHOYP_ARP8.1.1|m.10729,-0.012210455922267
CHOYP_LOC100366987.2.2|m.61972,-0.00258253277686266
CHOYP_LOC100367001.1.1|m.55663,0.00596163633559891
CHOYP_LOC100367064.1.1|m.52280,-0.0129844465564589
CHOYP_LOC100367069.1.1|m.14484,0.00139576521218401
