CHOYP_LOC100565981.1.1.m.29912	GO:0000932;GO:0003723;GO:0005829;GO:0010494;GO:0017148;GO:0030425;GO:0050775;GO:0061003;GO:0098794;GO:0098978
CHOYP_LOC100635245.3.4.m.44747	GO:0000149;GO:0005484;GO:0006887;GO:0006906;GO:0016021;GO:0030658;GO:0031201
CHOYP_LOC100692883.1.1.m.5437	GO:0001501;GO:0005509;GO:0005540;GO:0007155;GO:0007417;GO:0030246;GO:0031012
CHOYP_LOC100693418.2.2.m.56971	GO:0001882;GO:0004126;GO:0005576;GO:0005829;GO:0007166;GO:0008270;GO:0008655;GO:0009972;GO:0019858;GO:0030308;GO:0034774;GO:0042803;GO:0043097;GO:0043312;GO:0045980;GO:0051289;GO:1904724;GO:1904813
CHOYP_LOC100706133.1.1.m.56708	GO:0016021;GO:0032580
CHOYP_LOC100710965.1.1.m.15140	GO:0002181;GO:0005737;GO:0005844;GO:0007569;GO:0030521;GO:0034599;GO:0071394;GO:2000825
CHOYP_LOC100865976.1.1.m.15403	GO:0001731;GO:0002188;GO:0003723;GO:0022627;GO:0032991;GO:0045948
CHOYP_LOC100872239.1.1.m.53052	GO:0000813;GO:0005737;GO:0005768;GO:0005886;GO:0006612;GO:0006623;GO:0010008;GO:0016197;GO:0016236;GO:0019058;GO:0030496;GO:0031902;GO:0032509;GO:0036258;GO:0039702;GO:0043162;GO:0043231;GO:0048306;GO:0070062;GO:1902188;GO:1903774
CHOYP_LOC100876012.1.1.m.8280	GO:0004850;GO:0005634;GO:0005654;GO:0005829;GO:0006139;GO:0006218;GO:0009166;GO:0042149;GO:0043097;GO:0044206;GO:0046135
CHOYP_LOC100879487.2.3.m.32793	GO:0007601;GO:0016021;GO:0016324;GO:0042462;GO:0060041
CHOYP_LOC100889336.1.1.m.18327	GO:0005737
CHOYP_LOC100890099.1.1.m.11505	GO:0005524;GO:0005634;GO:0005737;GO:0005856
CHOYP_LOC100905387.1.1.m.30579	GO:0003735;GO:0005654;GO:0005739;GO:0005763;GO:0030054;GO:0032543
CHOYP_LOC100905729.1.3.m.13789	GO:0004867;GO:0005576
CHOYP_LOC101064328.2.3.m.57090	GO:0005737;GO:0008119;GO:0014070;GO:0033574
